feature,importance
ext_docm,0.510989010989011
ext_pdf,0.489010989010989
hist_171,0.0
hist_170,0.0
hist_169,0.0
hist_168,0.0
hist_167,0.0
hist_166,0.0
hist_165,0.0
hist_172,0.0
hist_163,0.0
hist_162,0.0
hist_161,0.0
hist_160,0.0
hist_159,0.0
hist_158,0.0
hist_164,0.0
hist_188,0.0
hist_187,0.0
hist_186,0.0
hist_185,0.0
hist_184,0.0
hist_183,0.0
hist_182,0.0
hist_173,0.0
hist_180,0.0
hist_179,0.0
hist_178,0.0
hist_177,0.0
hist_176,0.0
hist_175,0.0
hist_174,0.0
hist_189,0.0
hist_181,0.0
hist_125,0.0
hist_126,0.0
hist_127,0.0
hist_128,0.0
hist_129,0.0
hist_130,0.0
hist_131,0.0
hist_132,0.0
hist_133,0.0
hist_134,0.0
hist_135,0.0
hist_136,0.0
hist_137,0.0
hist_138,0.0
hist_139,0.0
hist_157,0.0
hist_156,0.0
hist_155,0.0
hist_154,0.0
hist_153,0.0
hist_152,0.0
hist_151,0.0
hist_150,0.0
hist_140,0.0
hist_148,0.0
hist_147,0.0
hist_146,0.0
hist_145,0.0
hist_144,0.0
hist_143,0.0
hist_142,0.0
hist_141,0.0
hist_149,0.0
hist_31,0.0
hist_0,0.0
hist_1,0.0
hist_2,0.0
hist_3,0.0
hist_4,0.0
hist_5,0.0
hist_6,0.0
hist_199,0.0
hist_8,0.0
hist_9,0.0
hist_10,0.0
hist_11,0.0
hist_12,0.0
hist_13,0.0
hist_190,0.0
hist_30,0.0
hist_29,0.0
hist_28,0.0
hist_27,0.0
hist_26,0.0
hist_25,0.0
hist_24,0.0
hist_14,0.0
hist_22,0.0
hist_21,0.0
hist_20,0.0
hist_19,0.0
hist_18,0.0
hist_17,0.0
hist_16,0.0
hist_15,0.0
hist_23,0.0
hist_124,0.0
hist_191,0.0
hist_224,0.0
hist_225,0.0
hist_226,0.0
hist_227,0.0
hist_228,0.0
hist_229,0.0
hist_230,0.0
ext_jpg,0.0
hist_232,0.0
hist_233,0.0
hist_234,0.0
hist_235,0.0
hist_236,0.0
hist_254,0.0
hist_253,0.0
hist_252,0.0
hist_251,0.0
hist_250,0.0
hist_249,0.0
hist_248,0.0
hist_247,0.0
hist_237,0.0
hist_245,0.0
hist_244,0.0
hist_243,0.0
hist_242,0.0
hist_241,0.0
hist_240,0.0
hist_239,0.0
hist_238,0.0
hist_246,0.0
hist_218,0.0
hist_219,0.0
hist_220,0.0
hist_221,0.0
hist_222,0.0
hist_32,0.0
hist_33,0.0
hist_34,0.0
hist_35,0.0
hist_36,0.0
hist_37,0.0
hist_38,0.0
hist_39,0.0
hist_40,0.0
hist_41,0.0
hist_123,0.0
hist_43,0.0
hist_44,0.0
hist_45,0.0
hist_46,0.0
hist_47,0.0
hist_48,0.0
hist_49,0.0
hist_50,0.0
hist_51,0.0
hist_52,0.0
hist_53,0.0
hist_54,0.0
hist_55,0.0
hist_56,0.0
hist_57,0.0
hist_42,0.0
hist_7,0.0
hist_255,0.0
size,0.0
entropy,0.0
js_flag,0.0
macro_flag,0.0
ext_docx,0.0
hist_192,0.0
hist_193,0.0
hist_194,0.0
hist_195,0.0
hist_196,0.0
hist_197,0.0
hist_198,0.0
hist_231,0.0
hist_217,0.0
hist_216,0.0
hist_215,0.0
hist_214,0.0
hist_213,0.0
hist_212,0.0
hist_211,0.0
hist_210,0.0
hist_200,0.0
hist_208,0.0
hist_207,0.0
hist_206,0.0
hist_205,0.0
hist_204,0.0
hist_203,0.0
hist_202,0.0
hist_201,0.0
hist_209,0.0
hist_92,0.0
hist_93,0.0
hist_94,0.0
hist_95,0.0
hist_96,0.0
hist_97,0.0
hist_98,0.0
hist_99,0.0
hist_100,0.0
hist_101,0.0
hist_102,0.0
hist_103,0.0
hist_104,0.0
hist_105,0.0
hist_106,0.0
hist_58,0.0
hist_223,0.0
hist_122,0.0
hist_121,0.0
hist_120,0.0
hist_119,0.0
hist_118,0.0
hist_117,0.0
hist_107,0.0
hist_115,0.0
hist_114,0.0
hist_113,0.0
hist_112,0.0
hist_111,0.0
hist_110,0.0
hist_109,0.0
hist_108,0.0
hist_116,0.0
hist_59,0.0
hist_60,0.0
hist_61,0.0
hist_62,0.0
hist_63,0.0
hist_64,0.0
hist_65,0.0
hist_66,0.0
hist_67,0.0
hist_68,0.0
hist_69,0.0
hist_70,0.0
hist_71,0.0
hist_72,0.0
hist_73,0.0
hist_91,0.0
hist_90,0.0
hist_89,0.0
hist_88,0.0
hist_87,0.0
hist_86,0.0
hist_85,0.0
hist_84,0.0
hist_74,0.0
hist_82,0.0
hist_81,0.0
hist_80,0.0
hist_79,0.0
hist_78,0.0
hist_77,0.0
hist_76,0.0
hist_75,0.0
hist_83,0.0
